fund_name,fund_code,category,description,revenue_sources_count
General Fund,00100,General Fund,"Property Tax. Property taxes paid in the current year are based on valuations as of January 1 of the previous year. The revenue forecasts and projected tax rates for 2026 are based on January 1, 2025 valuations. Over the course of the year, the King County Assessor conducts the research and appraisals needed to retroactively determine those valuations. Assessed values (AV) have declined over the last two years due to the high-interest rate environment and uncertainty around the long-term demand for office space, but are expected to start growing at a modest pace. At the same time, the construction sector continues to grapple with high costs and rising office vacancy rates that are likely to prevail for an extended period, but show signs of improvement. Given these developments, 2026 Adopted revenues from the general expense property tax have been revised to $327.3 million, up $2.5 millio | Sales and Use Tax. Consistent with the weak performance of the regional economy and notable declines in revenues from the construction and trade sectors, the revised forecast anticipates only 1.2% growth in sales tax revenues in 2025. This is expected to be followed by 16.7% growth in 2026 as interest rates decline and sales tax revenues are further boosted by the State Legislature’s passage of Engrossed Substitute Senate Bill 5814, which expands the list of services subject to the sales tax, and by the sales tax increment of 0.1% for criminal justice investments, approved by City Council in October 2025. Altogether, 2026 Adopted sales tax revenues are $50.9 million higher than in the 2026 Endorsed Budget. | Business and Occupation (B&O) Tax. Similar to the sales tax, Seattle’s weak economic performance is expected to weigh on B&O tax revenues. But while sales tax and B&O tax tend to move together, the tax base for B&O tax is more diversified, with the construction and trade sectors taking up smaller shares, while information, financial activities, and professional and businesses",48
Group Term Life Fund,,Internal Service,Internal service fund covering group term life insurance premiums for City employees. Funded by departmental contributions based on employee classifications.,1
Health Care Fund,,Internal Service,Internal service fund covering employee and retiree health insurance costs citywide. Funded by contributions from all City departments based on headcount and benefits elections.,1
Human Services Fund,,Special Purpose,"The mission of the Human Services Department (HSD) is to connect people with resources and solutions during times of need, so all Seattle residents can live, learn, work, and take part in strong and healthy communities. HSD contracts with more than 200 community-based human service providers and administers programs to ensure Seattle residents have food and shelter, access to health care, opportunities to gain social and economic independence and success, and many more of life’s basic necessities. HSD also serves King County as the Area Agency on Aging. HSD is committed to working with the community to provide appropriate and culturally responsive services. Through the lens of racial equity, HSD supports programs, initiatives, and policies that address six investment impact",1
Industrial Insurance Fund,,Internal Service,Internal service fund covering workers compensation claims and industrial insurance costs for all City employees. Funded by charges to departments based on payroll and claims experience.,1
Information Technology Fund,,Internal Service,"The Seattle Information Technology Department puts powerful information and tools in the hands of people to unleash brilliance in service to our community. The Seattle Information Technology Department (Seattle IT) provides strategic direction for and management of the City's information technology resources. Our services include data, telephone, and radio networks; applications and application infrastructure; desktop, mobile, and printing device support; website and digital engagement tools; data centers, servers, storage, and backup; video production and coverage of public meetings; and community support for digital equity, civic technology, and public internet access initiatives. Seattle IT also manages the City’s CableTV Franchise fund, designated projects on behalf of the City, other departments, and regional partners. Seattle IT is organized into ten divisions: Privacy & Engagement; Finance; Strategic Support; Advanced Digital Services; Public Safety Technologies; Technology Support; Data Enablement; Business Solutions; Security & Infrastructure; and Portfolio, Products & Project Management.",1
Judgment/Claims Fund,,Bonds & Reserves,Citywide reserve fund that pays legal judgments and settlements against the City. Funded by contributions from all departments based on actuarial risk assessment.,1
LTGO Bond Interest and Redemption Fund,,Bonds & Reserves,"City Fiscal Reserve Funds The State of Washington permits the City to maintain two financial reserves to draw upon in the event of certain unanticipated expenditure or revenue pressures. Emergency Fund Under the authority of RCW 35.32A.060, the City maintains the Emergency Fund (EMF) of the General Fund. The EMF is the principal reserve for the City to draw upon when certain unanticipated expenses occur during the fiscal year. Eligible expenses include costs related to storms or other natural disasters. State law limits the amount of money the City can set aside in this reserve to 37.5 cents per $1,000 of assessed value of property within the city. Prior to 2017, the City's practice was to fully fund the emergency reserve to this maximum limit. In 2017, the City modified the existing financial policies for the EMF to establish a minimum balance of $60 million, and to adjust that target balance each year with the rate of inflation. This policy struck a balance between ensuring that resources will be available to address unanticipated expenditures and making resources available to address current needs. In 2022, the City updated its financial policies to define a process for rebuildi",1
Light Fund,,Utilities,"Seattle City Light (City Light) was created by the residents of Seattle in 1902 to provide affordable, reliable, and serves, City Light is a nationally recognized leader in energy efficiency, renewable resources, and environmental stewardship. City Light provides electric power to approximately 503,000 residential, business, and industrial customers within a parts of Shoreline, Burien, Tukwila, SeaTac, Lake Forest Park, Renton, Normandy Park, and areas of unincorporated King County. City Light is the nation's ninth largest publicly owned electric utility in terms of customers served, and owns about 2,000 megawatts of very low-cost, environmentally responsible, hydroelectric generation capacity. In an average year, City Light produces about 50% of its energy supply with hydroelectric facilities that it owns directly. City Light purchases 30% of its energy supply through the Bonneville Power Administration (BPA) and 20% from other sources including short-term wholesale purchases.",1
Low Income Housing Fund,,Special Purpose,"The mission of the Office of Housing (OH) is to partner to create affordable housing by equitably investing to prevent displacement and increase opportunities for people to live in Seattle. OH manages investments from the Seattle Housing Levy and other funding sources to fund the production, preservation, acquisition, and long-term stewardship of affordable housing in Seattle. Additionally, OH supports affordable housing providers and low- income residents, provides home repair and weatherization assistance, funds permanently affordable homeownership opportunities, and leads Citywide planning and policy development on affordable housing issues.",1
Park And Recreation Fund,,Special Purpose,"Seattle Parks and Recreation (SPR) equips employees and the public for well-being, supporting healthy people, a thriving environment and vibrant community. SPR provides safe and accessible spaces for residents and visitors to work, recreate, rejuvenate and enhance quality of life and wellness for children, teenagers, adults and seniors. SPR manages a 6,400+ acre park system of nearly 500 parks and extensive natural areas. SPR provides athletic fields, tennis courts, play areas, restrooms, specialty gardens, and more than 25 miles of boulevards and 120 miles of trails. The system comprises about 12% of the city's land area. SPR also manages many facilities, including 26 community centers, eight indoor swimming pools, two outdoor (summer) swimming pools, three environmental education centers",1
Payroll Expense Tax,,Levies & Special Taxes,"JumpStart Payroll Expense Tax Fund. For 2026, the City’s Payroll Expense Tax applies to those businesses with a total 2025 payroll expense in Seattle of at least $9,074,490, and at least one employee with a 2026 annual compensation of $194,452 or higher. Specific tax rates vary with the level of individual employees’ compensation and a company’s total Seattle payroll.3 The Payroll Expense Tax was first imposed in 2021, with the first payments made in January 2022. Total 2021 tax obligations reached about $297 million, but fell to $266 million in 2022 before growing to $315 million in 2023, and then further rising to $359 million in 2024, in large part due to higher tax rates imposed in 2024. The revised forecast for 2025 revenues is $385.4 million, $55.1 million lower than the 2025 Adopted forecast due to lower-than-expected revenues in 2024 and higher economic uncertainty weighing down",1
Police Relief & Pension Fund,,Pensions & Benefits,Pension fund for retired Seattle police officers hired before the state pension system. Funded by City contributions and investment earnings.,1
Revenue Stabilization Fund,,Special Purpose,"City Fiscal Reserve Funds The State of Washington permits the City to maintain two financial reserves to draw upon in the event of certain unanticipated expenditure or revenue pressures. Emergency Fund Under the authority of RCW 35.32A.060, the City maintains the Emergency Fund (EMF) of the General Fund. The EMF is the principal reserve for the City to draw upon when certain unanticipated expenses occur during the fiscal year. Eligible expenses include costs related to storms or other natural disasters. State law limits the amount of money the City can set aside in this reserve to 37.5 cents per $1,000 of assessed value of property within the city. Prior to 2017, the City's practice was to fully fund the emergency reserve to this maximum limit. In 2017, the City modified the existing financial policies for the EMF to establish a minimum balance of $60 million, and to adjust that target balance each year with the rate of inflation. This policy struck a balance between ensuring that resources will be available to address unanticipated expenditures and making resources available to address current needs. In 2022, the City updated its financial policies to define a process for rebuildi",1
Seattle Center Fund,,Special Purpose,"Seattle Center is home to cultural and educational organizations, sports teams, festivals, community programs (including cultural and community celebrations), and entertainment facilities. Millions of people visit the 74-acre Seattle Center campus annually. Consistently rated as one of the City's top attractions, Seattle Center is a premier urban park whose purpose is to create exceptional events, experiences, and environments that delight and inspire the human spirit and build a stronger community. Since its creation in 1963, Seattle Center has nurtured artistry and creativity by providing a home for and technical assistance to a wide variety of arts and cultural organizations. These organizations play a critical role in the arts and cultural landscape of the region. Originally created for the World’s Fair, the Coliseum, later called KeyArena, was operated by Seattle Center as a public assembly venue for sports and concert events. The new building, now Climate Pledge Arena, is hosting the NHL’s newest franchise, the Kraken, as well as the WNBA’s Seattle Storm, along with a variety of concerts, family shows, and other events. Seattle Center is financed by a combination of tax dolla",1
Seattle Park District Fund,,Levies & Special Taxes,"Seattle Parks and Recreation (SPR) equips employees and the public for well-being, supporting healthy people, a thriving environment and vibrant community. SPR provides safe and accessible spaces for residents and visitors to work, recreate, rejuvenate and enhance quality of life and wellness for children, teenagers, adults and seniors. SPR manages a 6,400+ acre park system of nearly 500 parks and extensive natural areas. SPR provides athletic fields, tennis courts, play areas, restrooms, specialty gardens, and more than 25 miles of boulevards and 120 miles of trails. The system comprises about 12% of the city's land area. SPR also manages many facilities, including 26 community centers, eight indoor swimming pools, two outdoor (summer) swimming pools, three environmental education centers",1
Short-Term Rental Tax Fund,,Levies & Special Taxes,"Short-Term Rental Tax Fund. Effective January 1, 2019, the State legislature authorized the public facilities district that is the Washington State Trade and Convention Center to impose a 7% tax on the sale of or charge made for the furnishing of lodging (including but not limited to any short-term rental). Beginning in 2020 these revenues and associated expenditures were moved from the General Fund to the Short-Term Rental Tax Fund in the City’s accounting system. In both 2025 and 2026, revenues have been revised down from the Adopted and Endorsed to $12.1 million and $12.5 million, respectively, owing to less growth than anticipated in the first half of 2025 and a weaker tourism outlook in 2026. | The Office of Planning and Community Development (OPCD) was established in December 2015 with a mission of strengthening citywide planning and implementation and ensuring City departments are aligned and coordinated in planning for Seattle’s future development. OPCD coordinates City departments to ensure that development decisions and investments advance equitable growth, consistent with Seattle's Comprehensive Plan. The department is guided by its vision of “an inspiring city, in harmony with nature, where everyone thrives.” In addition to partnering with other City departments, OPCD works closely with community partners and other agencies to implement that vision. During the last five years, OPCD has accomplished a wide range of projects, including annual amendments and a major update to",2
Solid Waste Fund,,Utilities,"Seattle Public Utilities (SPU) provides reliable, efficient and environmentally conscious utility services to enhance the quality of life and livability in all communities SPU serves. SPU operates three distinct utilities: Drainage and Wastewater, Solid Waste, and Water. These three utilities or Lines of Business maintain separate revenue sources, separate enterprise funds, and unique capital improvement projects, but share other capital projects and technology as well as common operations and administration. Drainage and Wastewater: The Drainage and Wastewater Utility collects and disposes or discharges storm runoff and wastewater from residences, businesses, institutions, and public properties within the City. In addition to handling sewage and storm water runoff, Drainage and Wastewater works with other government agencies and private parties to address Federal EPA-mandated sediment cleanup projects where contamination is linked to storm water or sewage, such as Gas Works Park and the Lower Duwamish Waterway. Drainage and Wastewater systems include approximately 448 miles of separated sanitary sewers, 968 miles of combined sewers, 481 miles of storm drains, 67 pump stations, 82",1
Sweetened Beverage Tax Fund,,Levies & Special Taxes,"Sweetened Beverage Tax Fund. The Sweetened Beverage Tax is 1.75 cents per ounce of sweetened beverages or the equivalent for condensed syrups distributed into the City of Seattle. Consumption patterns and volumes have stabilized since the COVID era low when annual revenue dropped to $15.6 million. Revenues in 2024 came in at $20 million and the revised forecast for 2025 anticipates similar collections. Adopted revenues for 2026 are now $22.3 million, a small increase from the 2026 Endorsed estimate of $21.4 million. | The mission of the Human Services Department (HSD) is to connect people with resources and solutions during times of need, so all Seattle residents can live, learn, work, and take part in strong and healthy communities. HSD contracts with more than 200 community-based human service providers and administers programs to ensure Seattle residents have food and shelter, access to health care, opportunities to gain social and economic independence and success, and many more of life’s basic necessities. HSD also serves King County as the Area Agency on Aging. HSD is committed to working with the community to provide appropriate and culturally responsive services. Through the lens of racial equity, HSD supports programs, initiatives, and policies that address six investment impact",2
Transportation Benefit District Fund,,Levies & Special Taxes,"The Seattle Department of Transportation (SDOT) develops, maintains, and operates a transportation system that promotes the safe and efficient mobility of people and goods, and enhances the quality of life, environment, and economy of Seattle and the surrounding region. The City's transportation infrastructure is estimated to be worth approximately $41 billion, including these major system assets: • 1,548 lane-miles of arterial streets; • 2,396 lane-miles of non-arterial streets; • 134 bridges; • 531 stairways;",1
Transportation Fund,,Special Purpose,"The Seattle Department of Transportation (SDOT) develops, maintains, and operates a transportation system that promotes the safe and efficient mobility of people and goods, and enhances the quality of life, environment, and economy of Seattle and the surrounding region. The City's transportation infrastructure is estimated to be worth approximately $41 billion, including these major system assets: • 1,548 lane-miles of arterial streets; • 2,396 lane-miles of non-arterial streets; • 134 bridges; • 531 stairways;",1
Transportation Levy Fund,,Levies & Special Taxes,"The Seattle Department of Transportation (SDOT) develops, maintains, and operates a transportation system that promotes the safe and efficient mobility of people and goods, and enhances the quality of life, environment, and economy of Seattle and the surrounding region. The City's transportation infrastructure is estimated to be worth approximately $41 billion, including these major system assets: • 1,548 lane-miles of arterial streets; • 2,396 lane-miles of non-arterial streets; • 134 bridges; • 531 stairways;",1
UTGO Bond Interest Redemption Fund,,Bonds & Reserves,"City Fiscal Reserve Funds The State of Washington permits the City to maintain two financial reserves to draw upon in the event of certain unanticipated expenditure or revenue pressures. Emergency Fund Under the authority of RCW 35.32A.060, the City maintains the Emergency Fund (EMF) of the General Fund. The EMF is the principal reserve for the City to draw upon when certain unanticipated expenses occur during the fiscal year. Eligible expenses include costs related to storms or other natural disasters. State law limits the amount of money the City can set aside in this reserve to 37.5 cents per $1,000 of assessed value of property within the city. Prior to 2017, the City's practice was to fully fund the emergency reserve to this maximum limit. In 2017, the City modified the existing financial policies for the EMF to establish a minimum balance of $60 million, and to adjust that target balance each year with the rate of inflation. This policy struck a balance between ensuring that resources will be available to address unanticipated expenditures and making resources available to address current needs. In 2022, the City updated its financial policies to define a process for rebuildi",1
Unemployment Insurance Fund,,Internal Service,Internal service fund covering unemployment insurance costs for former City employees. Funded by contributions from all City departments.,1
Water Fund,,Utilities,"Seattle Public Utilities (SPU) provides reliable, efficient and environmentally conscious utility services to enhance the quality of life and livability in all communities SPU serves. SPU operates three distinct utilities: Drainage and Wastewater, Solid Waste, and Water. These three utilities or Lines of Business maintain separate revenue sources, separate enterprise funds, and unique capital improvement projects, but share other capital projects and technology as well as common operations and administration. Drainage and Wastewater: The Drainage and Wastewater Utility collects and disposes or discharges storm runoff and wastewater from residences, businesses, institutions, and public properties within the City. In addition to handling sewage and storm water runoff, Drainage and Wastewater works with other government agencies and private parties to address Federal EPA-mandated sediment cleanup projects where contamination is linked to storm water or sewage, such as Gas Works Park and the Lower Duwamish Waterway. Drainage and Wastewater systems include approximately 448 miles of separated sanitary sewers, 968 miles of combined sewers, 481 miles of storm drains, 67 pump stations, 82",1
